Antibiotic,Threshold,Accuracy,Precision,Recall,F1_Score
AMX/AMP,0.2,0.6142,0.5636,0.9925,0.7189
AMC,0.15,0.6154,0.5639,0.995,0.7199
CZ,0.15,0.6185,0.5675,0.995,0.7227
FOX,0.15,0.6441,0.597,0.9917,0.7453
CTX/CRO,0.15,0.6229,0.5746,0.9914,0.7275
IPM,0.15,0.6385,0.5903,0.994,0.7407
GEN,0.1,0.2937,0.1806,0.9612,0.3041
AN,0.1,0.303,0.1805,0.9531,0.3035
Acide nalidixique,0.2,0.3516,0.1491,0.8469,0.2536
ofx,0.1,0.2937,0.1289,0.802,0.2221
CIP,0.2,0.3709,0.1434,0.841,0.245
C,0.1,0.3143,0.144,0.901,0.2483
Co-trimoxazole,0.25,0.4362,0.1406,0.7368,0.2361
Furanes,0.1,0.3074,0.1452,0.9118,0.2505
colistine,0.1,0.2974,0.139,0.9278,0.2418
MACRO_AVERAGE,,0.4481,0.3205,0.9227,0.4453
