Antibiotic,Accuracy,Precision,Recall,F1,Test_Size
AMX/AMP,0.5294,0.6118,0.5337,0.5701,1955
AMC,0.5202,0.6122,0.5254,0.5655,1957
CZ,0.5158,0.5933,0.5308,0.5603,1958
FOX,0.4946,0.576,0.5222,0.5478,1957
CTX/CRO,0.5248,0.61,0.533,0.5689,1955
IPM,0.5033,0.5862,0.514,0.5477,1955
GEN,0.6425,0.225,0.3307,0.2678,1958
AN,0.6708,0.2396,0.3176,0.2731,1956
Acide nalidixique,0.6873,0.1567,0.2734,0.1992,1954
ofx,0.7288,0.1582,0.2138,0.1818,1958
CIP,0.6876,0.1904,0.3426,0.2447,1956
C,0.7038,0.1703,0.2816,0.2122,1955
Co-trimoxazole,0.6847,0.1764,0.3216,0.2278,1957
Furanes,0.7149,0.1553,0.2491,0.1913,1957
colistine,0.6945,0.1336,0.2239,0.1674,1954
