Antibiotic,Best_Model,ROC-AUC,Accuracy,Balanced_Accuracy,Precision,Recall,F1-Score,MCC
AMX/AMP,XGBoost,0.7215442206654991,0.6932773109243697,0.6859238178633975,0.6816479400749064,0.7968476357267951,0.7347597900686315,0.3828429695909061
AMC,Gradient Boosting,0.7037218387513537,0.6797385620915033,0.6680654887636057,0.6712132089016511,0.8039552880481513,0.7316118935837246,0.3511343160057162
CZ,Gradient Boosting,0.7196709646475609,0.6876750700280112,0.6801440984742926,0.6733185513673319,0.8005272407732865,0.7314331593737455,0.3727353838564389
FOX,Random Forest,0.7284714768261534,0.6853408029878618,0.6803520654712096,0.6893514811849479,0.7506538796861377,0.7186978297161937,0.36486937837176225
CTX/CRO,Random Forest,0.7022992636746144,0.6727357609710551,0.6657170406732118,0.6725595695618755,0.7608695652173914,0.7139942880456956,0.3384272110140625
IPM,Random Forest,0.7242005785312872,0.680672268907563,0.6765111568261175,0.6867371847030106,0.7384076990376203,0.7116357504215851,0.35612026347571607
GEN,Random Forest,0.5923459734829244,0.6867413632119514,0.5469886702444842,0.23605947955390336,0.3281653746770026,0.2745945945945946,0.08337270142609622
AN,Random Forest,0.5618198917639554,0.611577964519141,0.5354643701905234,0.2067620286085826,0.41732283464566927,0.27652173913043476,0.056541324088730034
Acide nalidixique,XGBoost,0.6302393707351716,0.6587301587301587,0.5728378670454195,0.17963224893917965,0.4568345323741007,0.2578680203045685,0.10411106996371185
ofx,XGBoost,0.6336812836882737,0.6844070961718021,0.5687939792161797,0.18152866242038215,0.41304347826086957,0.252212389380531,0.10126235605039285
CIP,XGBoost,0.6579044176001883,0.69234360410831,0.5929176851528524,0.2082018927444795,0.45674740484429066,0.28602383531960995,0.139081609783692
C,XGBoost,0.6451486145120546,0.6727357609710551,0.5922794010898075,0.1936416184971098,0.48375451263537905,0.27657378740970073,0.13242714528774832
Co-trimoxazole,XGBoost,0.6485648083908481,0.6610644257703081,0.5800603310796297,0.18758815232722145,0.46996466431095407,0.26814516129032256,0.11522164658709548
Furanes,LightGBM,0.6528080739035595,0.6932773109243697,0.5884068314552527,0.18888888888888888,0.4490566037735849,0.2659217877094972,0.12776877299785483
colistine,Gradient Boosting,0.6494508513993533,0.6601307189542484,0.5899166122429474,0.18319559228650137,0.4962686567164179,0.2676056338028169,0.12569621048880075
