Antibiotic,Model,ROC-AUC,Accuracy,Balanced_Accuracy,Precision,Recall,F1-Score,MCC
AMX/AMP,XGBoost,0.7215442206654991,0.6932773109243697,0.6859238178633975,0.6816479400749064,0.7968476357267951,0.7347597900686315,0.3828429695909061
AMX/AMP,LightGBM,0.7187832749562172,0.6904761904761905,0.6821777583187391,0.6754578754578755,0.8073555166374781,0.7355404866374152,0.37807813879520713
AMX/AMP,Random Forest,0.7188480735551663,0.6895424836601307,0.6835402802101576,0.6847405112316034,0.7740805604203153,0.726674886970818,0.3742540741963674
AMX/AMP,Gradient Boosting,0.718504816112084,0.6825396825396826,0.6745481611208406,0.670605612998523,0.7950963222416813,0.7275641025641025,0.3611651893934108
AMC,XGBoost,0.7006407998756343,0.673202614379085,0.662612190479871,0.6695970695970695,0.7858985382631126,0.7231012658227848,0.3369670717357668
AMC,LightGBM,0.696286241510236,0.6671335200746965,0.6558919598762314,0.6630434782608695,0.7867583834909716,0.7196224931183641,0.32442766969198816
AMC,Random Forest,0.700796696226957,0.676937441643324,0.6689604655635939,0.6810146041506533,0.7618228718830611,0.7191558441558441,0.34471457811917616
AMC,Gradient Boosting,0.7037218387513537,0.6797385620915033,0.6680654887636057,0.6712132089016511,0.8039552880481513,0.7316118935837246,0.3511343160057162
CZ,XGBoost,0.7135775877159202,0.6839402427637722,0.6764532380145498,0.6706143597335307,0.7961335676625659,0.7280032141422258,0.36490658379156293
CZ,LightGBM,0.7164028420588296,0.6811391223155929,0.6729374242922861,0.6654545454545454,0.8040421792618629,0.7282132908873856,0.3600045074502841
CZ,Random Forest,0.7183760564070607,0.6797385620915033,0.6749618398112296,0.6796502384737679,0.7513181019332161,0.7136894824707847,0.35468666999458953
CZ,Gradient Boosting,0.7196709646475609,0.6876750700280112,0.6801440984742926,0.6733185513673319,0.8005272407732865,0.7314331593737455,0.3727353838564389
FOX,XGBoost,0.7235304683837671,0.6928104575163399,0.6859949266822343,0.6873563218390805,0.7820401046207498,0.731647634584013,0.3802387367361758
FOX,LightGBM,0.7237893915961674,0.6881419234360411,0.6816357287746493,0.684942084942085,0.7733217088055798,0.7264537264537264,0.37055095456881065
FOX,Random Forest,0.7284714768261534,0.6853408029878618,0.6803520654712096,0.6893514811849479,0.7506538796861377,0.7186978297161937,0.36486937837176225
FOX,Gradient Boosting,0.7213000486302481,0.6853408029878618,0.6784208750815981,0.6809487375669472,0.7759372275501307,0.7253463732681337,0.3649117759193844
CTX/CRO,XGBoost,0.6973242461430575,0.6736694677871149,0.6657556100981767,0.6699321778447627,0.7730434782608696,0.7178037949132015,0.34047773909113455
CTX/CRO,LightGBM,0.6938968267882188,0.669000933706816,0.6603690392706872,0.6636971046770601,0.7773913043478261,0.7160592711253504,0.3310456741237252
CTX/CRO,Random Forest,0.7022992636746144,0.6727357609710551,0.6657170406732118,0.6725595695618755,0.7608695652173914,0.7139942880456956,0.3384272110140625
CTX/CRO,Gradient Boosting,0.7000525946704068,0.676937441643324,0.6682450911640954,0.6696296296296296,0.7860869565217391,0.7232,0.34757431752196327
