iter	Passed	Remaining
0	202	201841
1	255	127469
2	318	10585633	376	9385844	428	8532255	491	8145166	549	7790977	597	7410988	652	7180399	707	70019110	755	67919111	803	66156112	848	64416113	899	63348114	941	61822115	982	60446116	1027	5943217	1063	57998
18	1113	57497
19	1160	56865
20	1204	56157
21	1254	55742222	1296	55072323	1340	54532424	1383	53942525	1432	53672626	1478	53272727	1534	53272828	1580	52922929	1619	52373030	1664	52023131	1710	51733232	1761	51626
33	1805	51293434	1853	51093535	1898	50843636	1944	50613737	1994	50493838	2039	50243939	2087	50104040	2129	49814141	2173	49574242	2225	49529
43	2265	49220
44	2310	49031
45	2357	48883
46	2410	48872
47	2461	48822
48	2514	48805
49	2588	49188
50	2651	49333
51	2701	49244
52	2759	49309
53	2807	49176
54	2862	49185
55	2902	48935
56	2950	48814
57	2997	48676
58	3051	48663
59	3092	48441
60	3148	48472
61	3199	48409
62	3244	48259
63	3292	48153
64	3330	47908
65	3367	47648
66	3408	47470
67	3451	47302
68	3497	47196
69	3542	47059
70	3588	46953
71	3628	46765
72	3676	46687
73	3737	46766
74	3802	46895
75	3850	46811
76	3904	46804
77	3952	46714
78	4004	46688
79	4058	46668
80	4114	46686
81	4163	46614
82	4222	46648
83	4274	46608
84	4327	46584
85	4388	46639
86	4425	46439
87	4468	46310
88	4518	46249
89	4568	46192
90	4616	46119
91	4663	46028
92	4709	45934
93	4759	45872
94	4803	45758
95	4858	45753
96	4917	45779
97	4964	45694
98	5007	45571
99	5050	45458
100	5095	45351
101	5160	45433
102	5207	45353
103	5251	45246
104	5290	45093
105	5336	45010
106	5390	44986
107	5446	44984
108	5490	44883
109	5539	44819
110	5582	44710
111	5629	44634
112	5678	44577
113	5722	44473
114	5766	44373
115	5809	44271
116	5858	44211
117	5910	44177
118	5970	44203
119	6024	44180
120	6077	44151
121	6128	44102
122	6178	44051
123	6227	43991
124	6283	43985
125	6330	43909
126	6395	43964
127	6459	44002
128	6511	43966
129	6568	43955
130	6633	44005
131	6681	43933
132	6752	44017
133	6812	44025
134	6872	44035
135	6921	43971
136	6975	43938
137	7024	43879
138	7075	43829
139	7127	43784
140	7174	43709
141	7215	43596
142	7275	43602
143	7317	43498
144	7374	43484
145	7415	43373
146	7463	43307
147	7535	43378
148	7593	43368
149	7634	43264
150	7673	43144
151	7716	43052
152	7767	42999
153	7818	42948
154	7871	42912
155	7919	42847
156	7981	42858
157	8035	42821
158	8077	42722
159	8124	42654
160	8172	42590
161	8221	42527
162	8265	42443
163	8311	42366
164	8350	42259
165	8394	42174
166	8439	42097
167	8512	42154
168	8561	42097
169	8605	42012
170	8647	41922
171	8690	41834
172	8732	41744
173	8778	41673
174	8831	41636
175	8869	41526
176	8921	41481
177	8967	41410
178	9013	41341
179	9062	41285
180	9112	41233
181	9161	41177
182	9215	41142
183	9267	41100
184	9317	41046
185	9371	41011
186	9417	40944
187	9467	40890
188	9515	40831
189	9556	40739
190	9597	40649
191	9642	40578
192	9681	40479
193	9717	40371
194	9758	40287
195	9806	40225
196	9845	40132
197	9895	40081
198	9937	39998
199	9979	39916
200	10024	39849
201	10073	39795
202	10121	39738
203	10161	39648
204	10203	39571
205	10245	39488
206	10288	39416
207	10345	39393
208	10387	39313
209	10435	39256
210	10478	39181
211	10527	39130
212	10571	39061
213	10625	39026
214	10662	38930
215	10699	38837
216	10747	38781
217	10789	38704
218	10834	38637
219	10875	38559
220	10915	38475
221	10957	38400
