Antibiotic,Model,Accuracy,ROC-AUC,Precision,Recall,F1-Score
AMC,Gradient Boosting,0.6755368814192344,0.7036054654186762,0.6631799163179917,0.8177128116938951,0.732383519445514
AMC,Random Forest,0.665266106442577,0.6957803468715774,0.6712749615975423,0.7515047291487532,0.7091277890466532
AMC,Logistic Regression,0.6157796451914099,0.6432625988404825,0.6169188445667125,0.7712811693895099,0.6855177684371417
AMX/AMP,Random Forest,0.6816059757236228,0.7181348511383538,0.6831210191082803,0.7513134851138353,0.7155963302752294
AMX/AMP,Gradient Boosting,0.6802054154995332,0.7156366024518389,0.6647440519105984,0.8073555166374781,0.7291419533412415
AMX/AMP,Logistic Regression,0.623249299719888,0.6597618213660245,0.6154376292212267,0.7819614711033275,0.6887774778249133
AN,Random Forest,0.6419234360410832,0.5767839497064571,0.2066869300911854,0.3569553805774278,0.26179018286814243
AN,Gradient Boosting,0.8188608776844071,0.5742926725300734,0.3157894736842105,0.015748031496062992,0.03
AN,Logistic Regression,0.5658263305322129,0.5405885167250176,0.20890774125132555,0.5170603674540682,0.297583081570997
Acide nalidixique,Gradient Boosting,0.8697478991596639,0.6538831166826196,0.4444444444444444,0.014388489208633094,0.027874564459930314
Acide nalidixique,Random Forest,0.6713352007469654,0.6403900484762404,0.19219653179190752,0.4784172661870504,0.27422680412371137
Acide nalidixique,Logistic Regression,0.4388422035480859,0.5920006484083119,0.15263157894736842,0.7302158273381295,0.2524875621890547
C,Gradient Boosting,0.8683473389355743,0.6455357574936363,0.2727272727272727,0.010830324909747292,0.020833333333333332
C,Random Forest,0.6746031746031746,0.6388401196271813,0.1893491124260355,0.4620938628158845,0.26862539349422876
C,Logistic Regression,0.4481792717086835,0.5704493762158709,0.15057915057915058,0.703971119133574,0.2480916030534351
CIP,Gradient Boosting,0.8622782446311859,0.6642375498817031,0.25,0.010380622837370242,0.019933554817275746
CIP,Random Forest,0.6909430438842203,0.6458599820360511,0.20722135007849293,0.45674740484429066,0.28509719222462204
CIP,Logistic Regression,0.430905695611578,0.5791356763650828,0.1600877192982456,0.7577854671280276,0.26433313216656606
CTX/CRO,Random Forest,0.6624649859943977,0.7000127103786816,0.6651198762567672,0.7478260869565218,0.7040523945968072
CTX/CRO,Gradient Boosting,0.6741363211951448,0.6976678646563814,0.6659324522760646,0.788695652173913,0.7221337579617835
CTX/CRO,Logistic Regression,0.6209150326797386,0.6406846072931276,0.6215827338129496,0.7513043478260869,0.6803149606299213
CZ,Gradient Boosting,0.6820728291316527,0.7168885967553337,0.6656997824510514,0.8066783831282952,0.7294398092967819
CZ,Random Forest,0.6727357609710551,0.7115474831780085,0.6730007917656373,0.7469244288224957,0.7080383173677635
CZ,Logistic Regression,0.6162464985994398,0.6564138875079646,0.6098748261474269,0.7706502636203867,0.6809006211180124
Co-trimoxazole,Gradient Boosting,0.8641456582633054,0.6561755721853576,0.2777777777777778,0.0176678445229682,0.03322259136212625
Co-trimoxazole,Random Forest,0.6708683473389355,0.6382482698057582,0.1831831831831832,0.43109540636042404,0.2571127502634352
Co-trimoxazole,Logistic Regression,0.4780578898225957,0.5960706865844131,0.16303470540758677,0.7137809187279152,0.26544021024967146
FOX,Random Forest,0.6820728291316527,0.725607111407079,0.6858054226475279,0.7497820401046208,0.7163681799250312
FOX,Gradient Boosting,0.6830065359477124,0.7237758101755509,0.6778115501519757,0.7776809067131648,0.7243199350385708
FOX,Logistic Regression,0.6386554621848739,0.6687552847060061,0.6346570397111914,0.7663469921534438,0.6943127962085308
Furanes,Gradient Boosting,0.8748832866479925,0.6571787577527367,0.3333333333333333,0.011320754716981131,0.021897810218978103
Furanes,Random Forest,0.6816059757236228,0.6562127441420974,0.18926974664679583,0.47924528301886793,0.27136752136752135
Furanes,Logistic Regression,0.4598506069094304,0.5956011700726771,0.1526479750778816,0.7396226415094339,0.2530664945125888
GEN,Random Forest,0.6858076563958917,0.5859890898650588,0.22286821705426357,0.2971576227390181,0.2547065337763012
GEN,Gradient Boosting,0.8174603174603174,0.5691394833513697,0.3888888888888889,0.01808785529715762,0.0345679012345679
GEN,Logistic Regression,0.5606909430438842,0.5078881306271488,0.18378995433789955,0.4160206718346253,0.25494853523357086
IPM,Random Forest,0.6778711484593838,0.724635396551407,0.6858080393765381,0.731408573928259,0.707874682472481
IPM,Gradient Boosting,0.6750700280112045,0.7196430901592756,0.6707410236822001,0.7681539807524059,0.7161500815660685
IPM,Logistic Regression,0.6213818860877685,0.6582391665506275,0.6152777777777778,0.7751531058617673,0.6860240030971738
colistine,Gradient Boosting,0.873015873015873,0.6385634527469377,0.25,0.007462686567164179,0.014492753623188406
colistine,Random Forest,0.6498599439775911,0.6249362844263209,0.18037135278514588,0.5074626865671642,0.26614481409001955
colistine,Logistic Regression,0.5504201680672269,0.572112091622995,0.14720812182741116,0.5410447761194029,0.23144453312051078
ofx,Random Forest,0.6727357609710551,0.6251427140127686,0.18140929535232383,0.4384057971014493,0.256627783669141
ofx,Gradient Boosting,0.869281045751634,0.6251067927986704,0.16666666666666666,0.0036231884057971015,0.0070921985815602835
ofx,Logistic Regression,0.4757236227824463,0.5771869223480435,0.15819209039548024,0.7101449275362319,0.25874587458745874
